name,price,status,shipping,free_returns,items_sold
Boytone BT-28SPW Bluetooth Classic Style CD Player Turntable with AM/FM Radio,$148.00,Open Box,0,True,56
"TURNTABLE BELT FOR AUDIO TECHNICA AT-PL50, AT-LP60, AT-LP2D, AT-PL30",$9.99,Brand New,0,True,677
LP& No.1 Vintage Turntable Model: LPSC-026.  Brand New.  Sealed Box,$30.00,Brand New,23.24,False,
Fluance HiFi Vinyl Record Weight 760 Gram LP Disc Stabilizer Turntable Accessory,$49.99,Brand New,0,False,
Victrola The Kingfield Bluetooth Record Player Shelf System with Bookshelf,$116.99,Brand New,0,True,13
TK-12 Cartridge Holder SLED for Dual 1019 Turntables and more,$24.95,Brand New,0,False,
"45 RPM Vinyl Record Adapter, 7 Inch Center Hole Insert for Turntables, Red (3)",$2.97,Brand New,4.99,False,33
"Crosley RSD3 Mini 3"" Record Player Turntable - Exclusive Anthrax Edition /1000",$109.99,Brand New,11.95,False,
Victrola Journey+ Bluetooth Suitcase Record Player- Turquoise,$27.96,Open Box,14.88,True,
The best 100% Synthetic Oil For Lubricating Technics Turntables!!,$13.34,Brand New,0,True,657
Yamaha YP-511 Direct Drive Record Player Turntable Confirmed Excellent Operation,$335.00,Pre-Owned,60.0,True,137
Yamaha YP-400 Belt Drive Record Player Already Maintained 100V 50/60Hz Excellent,$289.00,Pre-Owned,50.0,True,21
RokBlok Pocket Size Wireless Record Player. Plays 45s and LPs,$35.00,Pre-Owned,0,False,
Vintage Pioneer PL-12D Turntable Base Plate,$13.00,Parts Only,9.65,False,
Crosley CR8017A-BK Black Voyager Bluetooth Portable Turntable Not Tested,$14.99,Pre-Owned,0,False,
"Tonearm Latch for Pioneer PL-518 Arm Rest – Fits PL-112D, PL-115, PL-117D",$14.99,,0,True,
1 by One Classic Wooden Turntable Open Box Belt Drive Bluetooth Vinyl Mp3 Record,$94.99,Open Box,41.5,True,
"Modern Vintage Turntable Record Player w/Built-in Speakers, 33 45 RPM Bluetooth",$99.97,Brand New,31.18,True,
"20cm 360° Electric Rotating Turntable, Rechargeable Low Noise Display Stand Show",$19.00,Brand New,0,False,
Wockoder Woodgrain Turntable Record Player YS-976,$21.00,Pre-Owned,16.31,False,
CROSLEY CR8005D-TU Cruiser  RECORD PLAYER TURNTABLE CR8005-TU NEW,$20.00,Brand New,15.5,False,
Ortofon 2M Blue Mounted on SH-4 Black Headshell (DEMO),$199.00,Pre-Owned,0,False,
"Record Player Stand with Vinyl Storage, Record Player Table with Vinyl Record St",$88.85,Brand New,0,True,
American Audio Pro-Scratch 2  CD Player Digital Turntable Controller. Tested!,$250.00,Pre-Owned,20.69,False,
ION iTTUSB Enabled Belt Drive Turntable Digitized Vinyl Tested & Works,$25.00,Pre-Owned,16.31,False,
Audio-Technica Fully Automatic Wireless Belt-Drive Turntable AT-LP60XBT-BK New,$212.47,Open Box,0,True,
"Record Player 3-Speed Vinyl Spinner 2 Built-in Stereo Speakers, Headphone Jack",$53.23,Brand New,24.16,False,
Record Player Vintage 3-Speed Bluetooth Vinyl Turntable Belt Driven Suitcase,$45.99,Brand New,0,False,332
Garrard Lab 75 Turntable - Base Only For Parts,$65.00,Parts Only,15.0,False,
Toshiba TY-LP100 MP3 Bluetooth Direct FULL SIZE USB Recording Turntable (USED),$74.00,Pre-Owned,31.8324,True,
Kenwood KD-291R Turntable,$89.65,Pre-Owned,13.43,False,
Vintage TOSHIBA SR-F770 DIRECT DRIVE Automatic Turntable W/ Manual & Box - Mint,$770.23,Pre-Owned,64.9,False,
Jensen JTA-222 Record Player 3-Speed Stereo Turntable with AM/FM Radio Tested,$24.99,Pre-Owned,8.99,False,
Boytone BT-24MB Bluetooth Classic Style Record Player Turntable with AM/FM,$145.00,Open Box,0,True,12
"Pro-ject Cover It RPM 5/9 Carbon, 1 1480 76 004",$175.00,Brand New,10.0,False,
